algorithm,metric,feature_name,feature_value,shapley_value
inductive,benchtime,svo,1563,-577.3383333333335
inductive,benchtime,tlkh,437,-951.9083333333333
inductive,benchtime,aq1,10,42.438333333333325
inductive,benchtime,rt5v,023,43.623333333333335
inductive,benchtime,svo,355,-83.78166666666667
inductive,benchtime,aq1,7992,1733.966666666667
inductive,benchtime,svo,1765,-852.8333333333331
inductive,benchtime,saq1,17479,-854.243333333333
inductive,benchtime,aq1,7992,1749.1449999999998
inductive,benchtime,svo,1765,-849.8449999999999
inductive,benchtime,tlkh,-097,-869.1
inductive,benchtime,aq1,7992,1785.7933333333337
inductive,benchtime,svo,1765,-822.6216666666668
inductive,benchtime,tlkh,437,-768.1916666666667
inductive,benchtime,aq1,10,36.13166666666667
inductive,benchtime,rt5v,023,32.53666666666666
inductive,benchtime,svo,959,-66.59833333333334
inductive,benchtime,aq1,10,-815.3716666666666
inductive,benchtime,ekbr3,097,-813.4616666666666
inductive,benchtime,nusa,211,1629.6633333333332
inductive,benchtime,aq1,7992,1741.8050000000003
inductive,benchtime,saq1,3576,-864.315
inductive,benchtime,tlkh,-097,-874.13
inductive,benchtime,aq1,7992,1689.3600000000004
inductive,benchtime,saq1,3576,-912.3349999999999
inductive,benchtime,tlv,5551,-776.1650000000003
inductive,benchtime,aq1,10,38.29500000000001
inductive,benchtime,rt5v,023,46.735000000000014
inductive,benchtime,saq1,10527,-79.52
inductive,benchtime,aq1,12727,-4.728333333333334
inductive,benchtime,svo,758,16.506666666666664
inductive,benchtime,saq1,17479,30.681666666666672
inductive,benchtime,aq1,12727,-11.73166666666667
inductive,benchtime,svo,758,-23.441666666666666
inductive,benchtime,saq1,2443,53.14333333333334
inductive,benchtime,aq1,12727,19.570000000000004
inductive,benchtime,svo,758,-16.49
inductive,benchtime,saq1,27906,32.21
inductive,benchtime,aq1,7992,1714.5916666666665
inductive,benchtime,saq1,17479,-848.1533333333332
inductive,benchtime,tlkh,-097,-865.9983333333331
inductive,benchtime,aq1,12727,-2.665000000000001
inductive,benchtime,svo,758,19.62
inductive,benchtime,tlkh,-097,18.125000000000004
inductive,benchtime,nusa,211,1561.3166666666668
inductive,benchtime,svo,154,-891.2283333333331
inductive,benchtime,tlv,16654,-664.9783333333331
inductive,benchtime,saq1,10527,96.77666666666669
inductive,benchtime,tlkh,437,121.93166666666667
inductive,benchtime,tlv,2776,77.59166666666668
inductive,benchtime,aq1,7992,1718.261666666667
inductive,benchtime,saq1,2443,-819.8583333333332
inductive,benchtime,tlkh,-097,-897.1033333333334
inductive,benchtime,aq1,7992,1805.7800000000004
inductive,benchtime,saq1,2443,-757.2400000000001
inductive,benchtime,tlkh,437,-760.8000000000002
inductive,benchtime,aq1,10,67.53
inductive,benchtime,rt5v,023,76.325
inductive,benchtime,tlkh,437,25.88500000000001
inductive,benchtime,aq1,7992,1824.5416666666667
inductive,benchtime,saq1,27906,-791.4883333333336
inductive,benchtime,tlkh,437,-737.1233333333334
inductive,benchtime,aq1,10,7.401666666666668
inductive,benchtime,ekbr3,097,6.271666666666668
inductive,benchtime,nusa,433,19.666666666666668
inductive,benchtime,aq1,10,37.85333333333333
inductive,benchtime,rt5v,023,38.81333333333333
inductive,benchtime,tlv,2776,-76.20666666666665
inductive,benchtime,aq1,12727,1.706666666666667
inductive,benchtime,svo,758,-4.573333333333333
inductive,benchtime,tlv,2776,14.526666666666666
inductive,benchtime,aq1,7992,1676.36
inductive,benchtime,tlkh,437,-870.3749999999999
inductive,benchtime,tlv,5551,-798.0750000000002
inductive,benchtime,aq1,12727,-121.74333333333334
inductive,benchtime,svo,758,-132.64833333333334
inductive,benchtime,tlv,1943,264.87166666666667
inductive,benchtime,nusa,211,1658.378333333333
inductive,benchtime,svo,758,-931.6566666666668
inductive,benchtime,tlv,16654,-712.1016666666665
inductive,benchtime,nusa,211,1640.1466666666665
inductive,benchtime,svo,1161,-794.3483333333335
inductive,benchtime,tlkh,-097,-810.348333333333
inductive,benchtime,ekbr3,00,-9.226666666666667
inductive,benchtime,rt5v,00,8.573333333333334
inductive,benchtime,svo,355,7.723333333333333
inductive,benchtime,ekbr3,00,7.846666666666667
inductive,benchtime,rt5v,00,9.726666666666665
inductive,benchtime,svo,758,8.306666666666667
inductive,benchtime,ekbr3,00,-6.883333333333334
inductive,benchtime,rt5v,00,-5.488333333333333
inductive,benchtime,svo,959,14.341666666666669
inductive,benchtime,aq1,10,0.01833333333333324
inductive,benchtime,ekbr3,097,-1.5616666666666663
inductive,benchtime,rt5v,00,1.8733333333333337
inductive,benchtime,nusa,211,1640.0833333333337
inductive,benchtime,svo,1161,-797.5416666666669
inductive,benchtime,tlv,11103,-651.6016666666668
inductive,benchtime,ekbr3,00,-6.911666666666666
inductive,benchtime,rt5v,00,-3.0966666666666662
inductive,benchtime,saq1,27906,11.218333333333334
inductive,benchtime,nusa,211,1637.7316666666663
inductive,benchtime,svo,1362,-791.9383333333332
inductive,benchtime,tlkh,-097,-815.6533333333332
inductive,benchtime,nusa,211,1703.763333333333
inductive,benchtime,svo,1362,-731.9216666666666
inductive,benchtime,tlkh,437,-678.7716666666665
inductive,benchtime,aq1,10,41.498333333333335
inductive,benchtime,ekbr3,097,-83.55166666666666
inductive,benchtime,rt5v,023,43.09333333333334
inductive,benchtime,nusa,211,1675.3266666666666
inductive,benchtime,svo,1362,-828.7683333333333
inductive,benchtime,tlv,2776,-757.4283333333334
inductive,benchtime,nusa,211,1615.5749999999998
inductive,benchtime,svo,1362,-856.5399999999998
inductive,benchtime,tlv,11103,-718.315
inductive,benchtime,nusa,211,1674.7566666666664
inductive,benchtime,svo,1362,-894.9233333333332
inductive,benchtime,tlv,16654,-692.7533333333331
inductive,benchtime,ekbr3,00,1.4116666666666668
inductive,benchtime,rt5v,023,2.2816666666666667
